game_id,play_id,sequence_number,period,period_display,clock,clock_seconds,team_id,team_name,play_type,play_type_id,text,score_home,score_away,scoring_play,score_value,shooting_play,coordinate_x,coordinate_y,wallclock,player_1_id,player_1_name,player_1_role,player_2_id,player_2_name,player_2_role
401488881,401488881101905101,101905101,1,1st Quarter,9:48,588,52,,JumpShot,558,Ta'Niya Latson missed Three Point Jumper.,0,0,False,3,True,,,2023-01-12T23:02:47Z,4609797,,,,,
401488881,401488881101905601,101905601,1,1st Quarter,9:43,583,152,,Defensive Rebound,587,Jada Boyd Defensive Rebound.,0,0,False,0,False,,,2023-01-12T23:02:52Z,4432859,,,,,
401488881,401488881101906801,101906801,1,1st Quarter,9:31,571,152,,JumpShot,558,Madison Hayes made Three Point Jumper. Assisted by Jakia Brown-Turner.,0,3,True,3,True,,,2023-01-12T23:03:04Z,4433413,,,4432841,,
401488881,401488881101907901,101907901,1,1st Quarter,9:20,560,52,,JumpShot,558,Ta'Niya Latson made Jumper.,2,3,True,2,True,,,2023-01-12T23:03:16Z,4609797,,,,,
401488881,401488881101909501,101909501,1,1st Quarter,9:04,544,152,,JumpShot,558,Madison Hayes missed Three Point Jumper.,2,3,False,3,True,,,2023-01-12T23:03:32Z,4433413,,,,,
401488881,401488881101914401,101914401,1,1st Quarter,8:55,535,152,,Offensive Rebound,586,Camille Hobby Offensive Rebound.,2,3,False,0,False,,,2023-01-12T23:03:39Z,4433005,,,,,
401488881,401488881101914402,101914402,1,1st Quarter,8:55,535,152,,LayUpShot,572,Camille Hobby made Layup.,2,5,True,2,True,,,2023-01-12T23:03:39Z,4433005,,,,,
401488881,401488881101915101,101915101,1,1st Quarter,8:48,528,52,,LayUpShot,572,Ta'Niya Latson made Layup. Assisted by Jazmine Massengill.,4,5,True,2,True,,,2023-01-12T23:03:46Z,4609797,,,4398765,,
401488881,401488881101917101,101917101,1,1st Quarter,8:28,508,152,,JumpShot,558,Diamond Johnson missed Jumper.,4,5,False,2,True,,,2023-01-12T23:04:07Z,4703768,,,,,
401488881,401488881101917701,101917701,1,1st Quarter,8:22,502,52,,Defensive Rebound,587,Jazmine Massengill Defensive Rebound.,4,5,False,0,False,,,2023-01-12T23:04:13Z,4398765,,,,,
